raw_row_number,date,time,location,lat,lng,county_name,subject_age,subject_race,subject_sex,officer_race,officer_sex,violation,outcome,contraband_found,frisk_performed,search_conducted,search_basis
8623866,2016-03-31,10:00:00,S-167-10,47.240741,-122.254122,Pierce,36.0,white,male,white,male,,citation,,False,False,
8623906,2016-03-31,15:00:00,I-005-125,47.147289,-122.50410900000001,Pierce,19.0,white,female,white,male,,citation,,False,False,
8624096,2016-03-31,08:00:00,S-007-48,47.092296000000005,-122.43499550000001,Pierce,26.0,white,male,white,male,License Susp/Rev 3rd Deg|Insurance - None,citation,,False,False,
8624189,2016-03-31,13:00:00,I-005-36,46.106685,-122.879112,Cowlitz,66.0,white,male,white,male,,warning,,False,False,
8624336,2016-03-31,17:00:00,S-CMP-1,,,,35.0,white,female,black,male,,warning,,False,False,
8624463,2016-03-31,20:00:00,I-090-225,47.162847,-118.299904,Adams,24.0,white,female,white,male,,citation,,False,False,
8624509,2016-03-31,11:00:00,I-005-43,46.183994,-122.89736699999999,Cowlitz,33.0,white,male,white,male,Medical Certificate|Oper Licence - I,warning,,False,False,
8624510,2016-03-31,15:00:00,I-005-42,46.183994,-122.89736699999999,Cowlitz,29.0,asian/pacific islander,male,white,male,,warning,,False,False,
8624539,2016-03-31,16:00:00,I-090-205,47.0974,-118.67565400000001,Adams,53.0,white,male,white,male,Open Container,citation,,False,False,
8624540,2016-03-31,17:00:00,I-090-206,47.0974,-118.67565400000001,Adams,33.0,black,male,white,male,Move Over Law,citation,,False,False,
8624541,2016-03-31,18:00:00,I-090-209,47.102506,-118.598199,Adams,42.0,white,male,white,male,Left Lane Travel,citation,,False,False,
8624553,2016-03-31,12:00:00,I-005-46,46.23352,-122.88716000000001,Cowlitz,59.0,white,male,white,male,,warning,,False,False,
8624678,2016-03-31,16:00:00,I-090-209,47.102506,-118.598199,Adams,55.0,white,male,white,male,Left Lane Travel,warning,,False,False,
8624679,2016-03-31,17:00:00,I-090-192,47.084687,-118.9585,Adams,19.0,white,female,white,male,,citation,,False,False,
8624740,2016-03-31,17:00:00,I-090-207,47.0974,-118.67565400000001,Adams,51.0,white,female,white,male,Move Over Law|Vehicle registration (paper),citation,,False,False,
8624741,2016-03-31,18:00:00,I-090-217,47.111000000000004,-118.494624,Adams,32.0,white,female,white,male,Left Lane Travel,citation,,False,False,
8624742,2016-03-31,00:00:00,I-090-196,47.086866,-118.87493700000002,Adams,22.0,hispanic,male,white,male,Misdemeanor Warrant,citation,False,False,True,other
8624900,2016-03-31,16:00:00,I-090-215,47.111000000000004,-118.494624,Adams,47.0,white,male,white,male,Left Lane Travel,warning,,False,False,
8624958,2016-03-31,06:00:00,I-005-143,47.315865,-122.296899,King,45.0,white,female,white,male,,warning,,False,False,
8624959,2016-03-31,07:00:00,I-005-154,47.453871,-122.26401299999999,King,26.0,white,female,white,male,,citation,,False,False,
8624960,2016-03-31,09:00:00,I-005-154,47.453871,-122.26401299999999,King,61.0,white,female,white,male,,citation,,False,False,
8624961,2016-03-31,09:00:00,I-005-154,47.453871,-122.26401299999999,King,51.0,white,male,white,male,,citation,,False,False,
8624962,2016-03-31,10:00:00,I-005-154,47.453871,-122.26401299999999,King,29.0,asian/pacific islander,male,white,male,,citation,,False,False,
8624963,2016-03-31,11:00:00,I-005-154,47.453871,-122.26401299999999,King,23.0,white,male,white,male,,citation,,False,False,
8624980,2016-03-31,08:00:00,I-005-154,47.453871,-122.26401299999999,King,52.0,asian/pacific islander,male,white,male,,warning,,False,False,
8624981,2016-03-31,08:00:00,I-005-154,47.453871,-122.26401299999999,King,42.0,white,female,white,male,,citation,,False,False,
8624982,2016-03-31,09:00:00,I-005-154,47.453871,-122.26401299999999,King,47.0,white,female,white,male,,citation,,False,False,
8624986,2016-03-31,12:00:00,,,,,35.0,white,female,white,male,,citation,,False,False,
8624987,2016-03-31,12:00:00,,,,,24.0,white,female,white,male,,citation,,False,False,
8624988,2016-03-31,12:00:00,,,,,32.0,white,female,white,male,,citation,,False,False,
8624989,2016-03-31,15:00:00,,,,,48.0,white,male,white,male,Safety Belt|Insurance - None,citation,,False,False,
8625014,2016-03-31,07:00:00,I-005-154,47.453871,-122.26401299999999,King,36.0,white,male,white,male,,citation,,False,False,
8625015,2016-03-31,08:00:00,I-005-154,47.453871,-122.26401299999999,King,31.0,asian/pacific islander,male,white,male,,citation,,False,False,
8625016,2016-03-31,08:00:00,I-005-154,47.453871,-122.26401299999999,King,56.0,white,male,white,male,,citation,,False,False,
8625017,2016-03-31,13:00:00,I-005-159,47.507842,-122.28143700000001,King,43.0,white,female,white,male,,citation,,False,False,
8625025,2016-03-31,11:00:00,,,,,21.0,white,male,white,male,Safety Belt,citation,,False,False,
