year,county_name,subject_race,subject_sex,officer_race,officer_sex,number_of_stops
2009,Adams,asian/pacific islander,female,other/unknown,male,1
2009,Adams,asian/pacific islander,female,white,female,2
2009,Adams,asian/pacific islander,female,white,male,99
2009,Adams,asian/pacific islander,male,other/unknown,male,2
2009,Adams,asian/pacific islander,male,white,female,4
2009,Adams,asian/pacific islander,male,white,male,310
2009,Adams,black,female,white,female,14
2009,Adams,black,female,white,male,114
2009,Adams,black,male,other/unknown,male,2
2009,Adams,black,male,white,female,21
2009,Adams,black,male,white,male,306
2009,Adams,hispanic,female,other/unknown,male,1
2009,Adams,hispanic,female,white,female,12
2009,Adams,hispanic,female,white,male,265
2009,Adams,hispanic,male,hispanic,male,11
2009,Adams,hispanic,male,other/unknown,male,10
2009,Adams,hispanic,male,white,female,28
2009,Adams,hispanic,male,white,male,833
2009,Adams,other/unknown,female,white,female,5
2009,Adams,other/unknown,female,white,male,35
2009,Adams,other/unknown,male,hispanic,male,1
2009,Adams,other/unknown,male,white,female,22
2009,Adams,other/unknown,male,white,male,50
2009,Adams,white,female,asian/pacific islander,male,2
2009,Adams,white,female,hispanic,male,1
2009,Adams,white,female,other/unknown,male,30
2009,Adams,white,female,white,female,221
2009,Adams,white,female,white,male,3450
2009,Adams,white,male,hispanic,male,73
2009,Adams,white,male,other/unknown,male,117
2009,Adams,white,male,white,female,397
2009,Adams,white,male,white,male,6442
2009,Asotin,asian/pacific islander,female,white,male,4
2009,Asotin,asian/pacific islander,male,white,male,15
2009,Asotin,black,female,white,male,2
2009,Asotin,black,male,white,male,8
2009,Asotin,hispanic,female,white,male,4
2009,Asotin,hispanic,male,white,male,31
2009,Asotin,other/unknown,female,white,male,3
2009,Asotin,other/unknown,male,white,male,6
2009,Asotin,white,female,white,male,544
2009,Asotin,white,male,white,male,1144
2009,Benton,asian/pacific islander,female,hispanic,male,17
2009,Benton,asian/pacific islander,female,other/unknown,male,14
2009,Benton,asian/pacific islander,female,white,female,1
2009,Benton,asian/pacific islander,female,white,male,81
2009,Benton,asian/pacific islander,male,hispanic,male,24
2009,Benton,asian/pacific islander,male,other/unknown,male,18
2009,Benton,asian/pacific islander,male,white,female,1
2009,Benton,asian/pacific islander,male,white,male,170
2009,Benton,black,female,hispanic,male,10
2009,Benton,black,female,other/unknown,male,11
2009,Benton,black,female,white,female,1
2009,Benton,black,female,white,male,81
2009,Benton,black,male,hispanic,male,34
2009,Benton,black,male,other/unknown,male,28
2009,Benton,black,male,white,female,3
2009,Benton,black,male,white,male,248
2009,Benton,hispanic,female,hispanic,male,263
2009,Benton,hispanic,female,other/unknown,male,117
2009,Benton,hispanic,female,white,female,8
2009,Benton,hispanic,female,white,male,1106
2009,Benton,hispanic,male,hispanic,male,473
2009,Benton,hispanic,male,other/unknown,male,267
2009,Benton,hispanic,male,white,female,23
2009,Benton,hispanic,male,white,male,2365
2009,Benton,other/unknown,female,hispanic,male,2
2009,Benton,other/unknown,female,other/unknown,male,2
2009,Benton,other/unknown,female,white,male,17
2009,Benton,other/unknown,male,hispanic,male,8
2009,Benton,other/unknown,male,other/unknown,male,3
2009,Benton,other/unknown,male,white,female,1
2009,Benton,other/unknown,male,white,male,46
2009,Benton,white,female,hispanic,male,676
2009,Benton,white,female,other/unknown,male,407
2009,Benton,white,female,white,female,75
2009,Benton,white,female,white,male,4223
2009,Benton,white,male,hispanic,male,1088
2009,Benton,white,male,other/unknown,male,771
2009,Benton,white,male,white,female,129
2009,Benton,white,male,white,male,7370
2009,Chelan,asian/pacific islander,female,white,male,79
2009,Chelan,asian/pacific islander,male,white,female,1
2009,Chelan,asian/pacific islander,male,white,male,299
2009,Chelan,black,female,white,male,24
2009,Chelan,black,male,white,female,1
2009,Chelan,black,male,white,male,108
2009,Chelan,hispanic,female,other/unknown,male,1
2009,Chelan,hispanic,female,white,female,1
2009,Chelan,hispanic,female,white,male,704
2009,Chelan,hispanic,male,asian/pacific islander,male,1
2009,Chelan,hispanic,male,other/unknown,male,3
2009,Chelan,hispanic,male,white,female,2
2009,Chelan,hispanic,male,white,male,2156
2009,Chelan,other/unknown,female,white,male,26
2009,Chelan,other/unknown,male,white,male,60
2009,Chelan,white,female,asian/pacific islander,male,7
2009,Chelan,white,female,other/unknown,male,12
2009,Chelan,white,female,white,female,7
2009,Chelan,white,female,white,male,5033
2009,Chelan,white,male,asian/pacific islander,male,6
2009,Chelan,white,male,hispanic,male,1
2009,Chelan,white,male,other/unknown,male,36
2009,Chelan,white,male,white,female,18
2009,Chelan,white,male,white,male,10336
2009,Clallam,asian/pacific islander,female,hispanic,male,3
2009,Clallam,asian/pacific islander,female,other/unknown,male,5
2009,Clallam,asian/pacific islander,female,white,male,83
2009,Clallam,asian/pacific islander,male,hispanic,male,3
2009,Clallam,asian/pacific islander,male,other/unknown,male,16
2009,Clallam,asian/pacific islander,male,white,female,1
2009,Clallam,asian/pacific islander,male,white,male,218
2009,Clallam,black,female,hispanic,male,1
2009,Clallam,black,female,other/unknown,male,6
2009,Clallam,black,female,white,male,29
2009,Clallam,black,male,hispanic,male,4
2009,Clallam,black,male,other/unknown,male,12
2009,Clallam,black,male,white,male,109
2009,Clallam,hispanic,female,hispanic,male,1
2009,Clallam,hispanic,female,other/unknown,male,1
2009,Clallam,hispanic,female,white,male,41
2009,Clallam,hispanic,male,hispanic,male,6
2009,Clallam,hispanic,male,other/unknown,male,1
2009,Clallam,hispanic,male,white,male,187
2009,Clallam,other/unknown,female,hispanic,male,1
2009,Clallam,other/unknown,female,white,female,2
2009,Clallam,other/unknown,female,white,male,140
2009,Clallam,other/unknown,male,hispanic,male,1
2009,Clallam,other/unknown,male,white,female,3
2009,Clallam,other/unknown,male,white,male,205
2009,Clallam,white,female,hispanic,male,74
2009,Clallam,white,female,other/unknown,male,377
2009,Clallam,white,female,white,female,11
2009,Clallam,white,female,white,male,4015
2009,Clallam,white,male,hispanic,male,191
2009,Clallam,white,male,other/unknown,male,696
2009,Clallam,white,male,white,female,19
2009,Clallam,white,male,white,male,7531
2009,Clark,asian/pacific islander,female,asian/pacific islander,male,31
2009,Clark,asian/pacific islander,female,black,male,14
2009,Clark,asian/pacific islander,female,hispanic,female,28
2009,Clark,asian/pacific islander,female,other/unknown,male,18
2009,Clark,asian/pacific islander,female,white,female,9
2009,Clark,asian/pacific islander,female,white,male,370
2009,Clark,asian/pacific islander,male,asian/pacific islander,male,53
2009,Clark,asian/pacific islander,male,black,male,44
2009,Clark,asian/pacific islander,male,hispanic,female,55
2009,Clark,asian/pacific islander,male,hispanic,male,2
2009,Clark,asian/pacific islander,male,other/unknown,male,39
2009,Clark,asian/pacific islander,male,white,female,21
2009,Clark,asian/pacific islander,male,white,male,949
2009,Clark,black,female,asian/pacific islander,male,19
2009,Clark,black,female,black,male,16
2009,Clark,black,female,hispanic,female,13
2009,Clark,black,female,other/unknown,male,12
2009,Clark,black,female,white,female,11
2009,Clark,black,female,white,male,263
2009,Clark,black,male,asian/pacific islander,male,47
2009,Clark,black,male,black,male,29
2009,Clark,black,male,hispanic,female,32
2009,Clark,black,male,other/unknown,male,32
2009,Clark,black,male,white,female,23
2009,Clark,black,male,white,male,768
2009,Clark,hispanic,female,asian/pacific islander,male,37
2009,Clark,hispanic,female,black,male,15
2009,Clark,hispanic,female,hispanic,female,11
2009,Clark,hispanic,female,other/unknown,male,8
2009,Clark,hispanic,female,white,female,6
2009,Clark,hispanic,female,white,male,274
2009,Clark,hispanic,male,asian/pacific islander,male,95
2009,Clark,hispanic,male,black,male,63
2009,Clark,hispanic,male,hispanic,female,63
2009,Clark,hispanic,male,other/unknown,male,36
2009,Clark,hispanic,male,white,female,35
2009,Clark,hispanic,male,white,male,1456
2009,Clark,other/unknown,female,asian/pacific islander,male,2
2009,Clark,other/unknown,female,white,male,78
2009,Clark,other/unknown,male,asian/pacific islander,male,3
2009,Clark,other/unknown,male,black,male,1
2009,Clark,other/unknown,male,hispanic,female,5
2009,Clark,other/unknown,male,hispanic,male,1
2009,Clark,other/unknown,male,white,male,127
2009,Clark,white,female,asian/pacific islander,male,539
2009,Clark,white,female,black,male,519
2009,Clark,white,female,hispanic,female,305
2009,Clark,white,female,hispanic,male,1
2009,Clark,white,female,other/unknown,male,310
2009,Clark,white,female,white,female,216
2009,Clark,white,female,white,male,8292
2009,Clark,white,male,asian/pacific islander,male,830
2009,Clark,white,male,black,male,883
2009,Clark,white,male,hispanic,female,647
2009,Clark,white,male,hispanic,male,5
2009,Clark,white,male,other/unknown,male,446
2009,Clark,white,male,white,female,355
2009,Clark,white,male,white,male,16885
2009,Columbia,asian/pacific islander,female,white,male,4
2009,Columbia,asian/pacific islander,male,white,male,5
2009,Columbia,black,female,white,male,1
2009,Columbia,black,male,white,male,5
2009,Columbia,hispanic,female,hispanic,male,1
2009,Columbia,hispanic,female,white,male,5
2009,Columbia,hispanic,male,white,male,22
2009,Columbia,other/unknown,female,white,male,5
2009,Columbia,other/unknown,male,white,male,3
2009,Columbia,white,female,hispanic,male,1
2009,Columbia,white,female,white,male,212
2009,Columbia,white,male,hispanic,male,1
2009,Columbia,white,male,other/unknown,male,1
2009,Columbia,white,male,white,male,527
2009,Cowlitz,asian/pacific islander,female,asian/pacific islander,male,5
2009,Cowlitz,asian/pacific islander,female,hispanic,female,1
2009,Cowlitz,asian/pacific islander,female,other/unknown,male,12
2009,Cowlitz,asian/pacific islander,female,white,female,32
2009,Cowlitz,asian/pacific islander,female,white,male,186
2009,Cowlitz,asian/pacific islander,male,asian/pacific islander,male,7
2009,Cowlitz,asian/pacific islander,male,hispanic,female,1
2009,Cowlitz,asian/pacific islander,male,other/unknown,male,35
2009,Cowlitz,asian/pacific islander,male,white,female,93
2009,Cowlitz,asian/pacific islander,male,white,male,552
2009,Cowlitz,black,female,asian/pacific islander,male,1
2009,Cowlitz,black,female,other/unknown,male,10
2009,Cowlitz,black,female,white,female,26
2009,Cowlitz,black,female,white,male,134
2009,Cowlitz,black,male,asian/pacific islander,male,17
2009,Cowlitz,black,male,other/unknown,male,26
2009,Cowlitz,black,male,white,female,45
2009,Cowlitz,black,male,white,male,355
2009,Cowlitz,hispanic,female,asian/pacific islander,male,5
2009,Cowlitz,hispanic,female,other/unknown,male,4
2009,Cowlitz,hispanic,female,white,female,19
2009,Cowlitz,hispanic,female,white,male,146
2009,Cowlitz,hispanic,male,asian/pacific islander,male,23
2009,Cowlitz,hispanic,male,other/unknown,male,30
2009,Cowlitz,hispanic,male,white,female,97
2009,Cowlitz,hispanic,male,white,male,707
2009,Cowlitz,other/unknown,female,asian/pacific islander,male,8
2009,Cowlitz,other/unknown,female,white,male,13
2009,Cowlitz,other/unknown,male,asian/pacific islander,male,15
2009,Cowlitz,other/unknown,male,white,female,1
2009,Cowlitz,other/unknown,male,white,male,28
2009,Cowlitz,white,female,asian/pacific islander,male,256
2009,Cowlitz,white,female,black,male,1
2009,Cowlitz,white,female,hispanic,female,3
2009,Cowlitz,white,female,other/unknown,male,445
2009,Cowlitz,white,female,white,female,546
2009,Cowlitz,white,female,white,male,4745
2009,Cowlitz,white,male,asian/pacific islander,male,506
2009,Cowlitz,white,male,black,male,13
2009,Cowlitz,white,male,hispanic,female,9
2009,Cowlitz,white,male,hispanic,male,2
2009,Cowlitz,white,male,other/unknown,male,854
2009,Cowlitz,white,male,white,female,984
2009,Cowlitz,white,male,white,male,10273
2009,Douglas,asian/pacific islander,female,white,male,19
2009,Douglas,asian/pacific islander,male,hispanic,male,1
2009,Douglas,asian/pacific islander,male,other/unknown,male,3
2009,Douglas,asian/pacific islander,male,white,male,49
2009,Douglas,black,female,hispanic,male,1
2009,Douglas,black,female,white,male,9
2009,Douglas,black,male,white,male,28
2009,Douglas,hispanic,female,other/unknown,male,7
2009,Douglas,hispanic,female,white,male,408
2009,Douglas,hispanic,male,other/unknown,male,27
2009,Douglas,hispanic,male,white,female,2
2009,Douglas,hispanic,male,white,male,1420
2009,Douglas,other/unknown,female,white,male,13
2009,Douglas,other/unknown,male,white,male,20
2009,Douglas,white,female,hispanic,male,1
2009,Douglas,white,female,other/unknown,male,10
2009,Douglas,white,female,white,female,2
2009,Douglas,white,female,white,male,1577
2009,Douglas,white,male,asian/pacific islander,male,4
2009,Douglas,white,male,hispanic,male,6
2009,Douglas,white,male,other/unknown,male,69
2009,Douglas,white,male,white,female,4
2009,Douglas,white,male,white,male,3459
2009,Ferry,black,female,white,male,2
2009,Ferry,hispanic,female,white,male,1
2009,Ferry,other/unknown,female,white,male,1
2009,Ferry,other/unknown,male,white,male,1
2009,Ferry,white,female,white,male,244
2009,Ferry,white,male,hispanic,male,4
2009,Ferry,white,male,other/unknown,male,5
2009,Ferry,white,male,white,male,702
2009,Franklin,asian/pacific islander,female,hispanic,male,2
2009,Franklin,asian/pacific islander,female,other/unknown,male,1
2009,Franklin,asian/pacific islander,female,white,male,16
2009,Franklin,asian/pacific islander,male,hispanic,male,4
2009,Franklin,asian/pacific islander,male,other/unknown,male,4
2009,Franklin,asian/pacific islander,male,white,female,1
2009,Franklin,asian/pacific islander,male,white,male,46
2009,Franklin,black,female,other/unknown,male,2
2009,Franklin,black,female,white,male,23
2009,Franklin,black,male,hispanic,male,1
2009,Franklin,black,male,other/unknown,male,5
2009,Franklin,black,male,white,female,1
2009,Franklin,black,male,white,male,57
2009,Franklin,hispanic,female,hispanic,male,25
2009,Franklin,hispanic,female,other/unknown,male,37
2009,Franklin,hispanic,female,white,female,3
2009,Franklin,hispanic,female,white,male,353
2009,Franklin,hispanic,male,hispanic,male,74
2009,Franklin,hispanic,male,other/unknown,male,106
2009,Franklin,hispanic,male,white,female,10
2009,Franklin,hispanic,male,white,male,840
2009,Franklin,other/unknown,female,other/unknown,male,2
2009,Franklin,other/unknown,female,white,male,8
2009,Franklin,other/unknown,male,hispanic,male,1
2009,Franklin,other/unknown,male,other/unknown,male,1
2009,Franklin,other/unknown,male,white,male,6
2009,Franklin,white,female,hispanic,male,96
2009,Franklin,white,female,other/unknown,male,78
2009,Franklin,white,female,white,female,28
2009,Franklin,white,female,white,male,1103
2009,Franklin,white,male,hispanic,male,191
2009,Franklin,white,male,other/unknown,male,180
2009,Franklin,white,male,white,female,42
2009,Franklin,white,male,white,male,2325
2009,Garfield,asian/pacific islander,female,white,male,4
2009,Garfield,asian/pacific islander,male,other/unknown,male,1
2009,Garfield,asian/pacific islander,male,white,male,11
2009,Garfield,black,male,white,male,7
2009,Garfield,hispanic,female,white,male,6
2009,Garfield,hispanic,male,white,male,29
2009,Garfield,other/unknown,female,white,male,9
2009,Garfield,other/unknown,male,white,male,8
2009,Garfield,white,female,white,male,309
2009,Garfield,white,male,hispanic,male,1
2009,Garfield,white,male,white,male,869
2009,Grant,asian/pacific islander,female,white,male,161
2009,Grant,asian/pacific islander,male,other/unknown,male,1
2009,Grant,asian/pacific islander,male,white,male,413
2009,Grant,black,female,white,male,139
2009,Grant,black,male,asian/pacific islander,male,1
2009,Grant,black,male,white,male,335
2009,Grant,hispanic,female,other/unknown,male,1
2009,Grant,hispanic,female,white,male,812
